seq,lesson_id,stage,stage_name,lesson,visual_kind,visual_status,visual_source,segment_or_module,source_url,use_rule,note
18,DE01-10,01,Data Foundations + Essential Excel,Excel Tables and structured data habits,VIDEO_PRIMARY,VERIFIED,Chandoo — Useful Excel concepts,2:22–8:45,https://www.youtube.com/watch?v=VT479YDPB0I,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
19,DE01-11,01,Data Foundations + Essential Excel,Practical cleaning and lookup awareness,VIDEO_SUPPORT,VERIFIED,Chandoo — XLOOKUP for Beginners,Whole short video,https://www.youtube.com/watch?v=dlBuWllegRg,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
20,DE01-12,01,Data Foundations + Essential Excel,PivotTable and Power Query awareness,VIDEO_SUPPORT,VERIFIED,Chandoo — PivotTable / Power Query awareness,31:35–38:35,https://www.youtube.com/watch?v=VT479YDPB0I,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
21,DE01-13,01,Data Foundations + Essential Excel,Chart choice and basic visual communication,VIDEO_SUPPORT,VERIFIED STABLE VIDEO PAGE,Chandoo — What is a Chart and How to Make Charts in Excel (video),"Embedded beginner video: chart purpose, create/format/change chart type; use the page’s “select correct chart” follow-up only as needed",https://chandoo.org/wp/excel-tutorial/making-charts/,Watch only enough to understand chart choice and basic communication. Then use the Teaching Book task with your own data; do not turn this into a dashboard course.,"Older page, but chart-selection fundamentals are stable. Final link audit must recheck that the embedded video still plays."
22,DE01-14,01,Data Foundations + Essential Excel,"Reconciliation, sanity checks and source preservation",BOOK_VISUAL,COURSE-BUILT,Teaching RC2 visual teaching + hands-on lab,,,Use the Teaching Book and guided lab. No generic video is forced here; mastery still requires the independent task.,This lesson is better learned from the Teaching Book + hands-on demonstration than from a generic external video.
23,DE01-15,01,Data Foundations + Essential Excel,Mini workflow: inspect -> calculate -> validate -> explain -> save evidence,BOOK_VISUAL,COURSE-BUILT,Teaching RC2 visual teaching + hands-on lab,,,Use the Teaching Book and guided lab. No generic video is forced here; mastery still requires the independent task.,This lesson is better learned from the Teaching Book + hands-on demonstration than from a generic external video.
24,DE02-01,02,SQL Foundations,"Database, table, row, column and query mental model",VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,0:52–11:19,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
25,DE02-02,02,SQL Foundations,"SELECT, aliases and LIMIT",VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,11:19–21:47 + 47:41–51:10,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
26,DE02-03,02,SQL Foundations,WHERE and comparison operators,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,21:47–33:54,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
27,DE02-04,02,SQL Foundations,"AND, OR, NOT and parentheses",VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,21:47–33:54,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
28,DE02-05,02,SQL Foundations,"ORDER BY, DISTINCT and result inspection",VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,11:19–21:47 + 47:41–51:10,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
29,DE02-06,02,SQL Foundations,"NULL, IS NULL and COALESCE",VIDEO_PRIMARY,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),"10:16:15 — Functions: Date, Text & NULL (focus NULL/COALESCE)",https://www.youtube.com/watch?v=ol9_NnC9-cc,Use the chapter like a paid-course class; then close it and complete the course NULL/COALESCE SQL task.,Current 2026 DE-focused SQL teaching.
30,DE02-07,02,SQL Foundations,Arithmetic expressions and safe calculations,VIDEO_PRIMARY,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),1:39:28 — Operators & Functions,https://www.youtube.com/watch?v=ol9_NnC9-cc,"Watch the operators/functions chapter, type examples, then solve the course safe-calculation task with the video closed.",Current 2026 long-form DE bootcamp.
31,DE02-08,02,SQL Foundations,Aggregate functions,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,33:54–44:18,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
32,DE02-09,02,SQL Foundations,GROUP BY and grouped grain,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,33:54–44:18,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
33,DE02-10,02,SQL Foundations,HAVING after aggregation,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,44:18–47:41,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
34,DE02-11,02,SQL Foundations,CASE for business categories,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,1:26:39–1:35:16,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
35,DE02-12,02,SQL Foundations,String and date basics,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,1:15:10–1:26:39,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
36,DE02-13,02,SQL Foundations,Simple subqueries and IN/EXISTS awareness,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL Beginner to Advanced,1:35:16–1:45:58,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
37,DE02-14,02,SQL Foundations,Debugging and validation workflow,VIDEO_SUPPORT,VERIFIED MULTI-SOURCE BUNDLE 2026,Course research bundle — SQL troubleshooting + wrong-result validation,Microsoft troubleshooting process video + Metabase duplicate/wrong-result logic guide; then course-owned validation lab,supplements/SQL_DEBUGGING_VALIDATION_VIDEO_BUNDLE_RC1.html,"Use the short troubleshooting video for the systematic debugging mindset, then the duplicate-result guide for logic validation. Close sources and debug the course query independently.","No single external video exactly teaches our full validation workflow, so the bundle combines two narrow sources and keeps the course lab authoritative."
38,DE03-01,03,Advanced SQL + PostgreSQL / Database Thinking,INNER JOIN and LEFT JOIN,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — SQL joins,51:10–1:08:04,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
39,DE03-02,03,Advanced SQL + PostgreSQL / Database Thinking,"Cardinality, row multiplication and join validation",VIDEO_SUPPORT,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),4:16:18 — Data Modeling & JOINs,https://www.youtube.com/watch?v=ol9_NnC9-cc,"Use the join/modeling block for the visual mental model. Course task remains authoritative for cardinality, row multiplication and validation.",Support source because cardinality validation depth is course-owned.
40,DE03-03,03,Advanced SQL + PostgreSQL / Database Thinking,UNION and UNION ALL,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — UNION,1:08:04–1:15:10,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
41,DE03-04,03,Advanced SQL + PostgreSQL / Database Thinking,String functions for cleaning and standardization,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — string functions,1:15:10–1:26:39,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
42,DE03-05,03,Advanced SQL + PostgreSQL / Database Thinking,"Dates, timestamps and time analysis",VIDEO_PRIMARY,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),"10:16:15 — Functions: Date, Text & NULL",https://www.youtube.com/watch?v=ol9_NnC9-cc,"Watch the date/time portion, reproduce examples, then solve the course timestamp/time analysis independently.",Current 2026 DE-focused SQL teaching.
43,DE03-06,03,Advanced SQL + PostgreSQL / Database Thinking,Subqueries and nested logic,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — subqueries,1:35:16–1:45:58,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
44,DE03-07,03,Advanced SQL + PostgreSQL / Database Thinking,CTEs and readable multi-step SQL,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — CTEs,1:58:55–2:09:07,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
45,DE03-08,03,Advanced SQL + PostgreSQL / Database Thinking,Window functions and PARTITION BY,VIDEO_PRIMARY,VERIFIED,Alex The Analyst — window functions,1:45:58–1:58:55,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
46,DE03-09,03,Advanced SQL + PostgreSQL / Database Thinking,"ROW_NUMBER, ranking and LAG/LEAD",VIDEO_PRIMARY,VERIFIED,Alex The Analyst — ranking/window functions,1:45:58–1:58:55,https://www.youtube.com/watch?v=OT1RErkfLNQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
47,DE03-10,03,Advanced SQL + PostgreSQL / Database Thinking,Advanced aggregation and multi-grain reasoning,VIDEO_SUPPORT,VERIFIED VIDEO,Luke Barousse — SQL for Data Analytics,37:44–1:04:47 — aggregation through statistical aggregation; 1:04:47 onward segmentation,https://www.youtube.com/watch?v=7mz73uXD9DA,Use these blocks to strengthen aggregation fluency. The Teaching Book adds multi-grain engineering reasoning and validation.,Video target/title confirmed; exact engineering multi-grain proof remains course-owned.
48,DE03-11,03,Advanced SQL + PostgreSQL / Database Thinking,"PostgreSQL setup, schemas and dialect awareness",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — PostgreSQL setup,0:00–17:12,https://www.youtube.com/watch?v=SpfIwlAYaKk,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
49,DE03-12,03,Advanced SQL + PostgreSQL / Database Thinking,Constraints and transactions,VIDEO_SUPPORT,VERIFIED,freeCodeCamp — PostgreSQL constraints/transactions,2:29:24–3:25:04,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
50,DE03-13,03,Advanced SQL + PostgreSQL / Database Thinking,Indexes and EXPLAIN basics,VIDEO_SUPPORT,VERIFIED VIDEO,Luke Barousse — SQL for Data Analytics,5:10:55–5:42:10 — EXPLAIN and query optimization,https://www.youtube.com/watch?v=7mz73uXD9DA,"Watch the EXPLAIN/optimization block, then use the course PostgreSQL task to compare plans and explain what changed.",Video target confirmed; PostgreSQL-specific course lab remains the mastery proof.
51,DE03-14,03,Advanced SQL + PostgreSQL / Database Thinking,Views and reusable database logic,VIDEO_SUPPORT,VERIFIED,freeCodeCamp — PostgreSQL detailed course,Use matching Views section; Teaching Book is authoritative,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
52,DE03-15,03,Advanced SQL + PostgreSQL / Database Thinking,Integrated unseen SQL challenge,PRACTICE_ONLY,NO VIDEO BY DESIGN,Independent practice / protected assessment,,,"Keep videos, answers and AI solving closed during the attempt. Use review only after saving a genuine attempt.","No tutorial during this task by design. Attempt it independently, then use the locked review/remediation flow."
53,DE03-16,03,Advanced SQL + PostgreSQL / Database Thinking,Timed SQL interview set and explanation,PRACTICE_ONLY,NO VIDEO BY DESIGN,Independent practice / protected assessment,,,"Keep videos, answers and AI solving closed during the attempt. Use review only after saving a genuine attempt.","No tutorial during this task by design. Attempt it independently, then use the locked review/remediation flow."
54,DE04-01,04,Python Foundations,Python setup and first program,VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,0:08:42–0:18:52,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
55,DE04-02,04,Python Foundations,"Variables, data types and operators",VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,0:18:52–0:48:41,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
56,DE04-03,04,Python Foundations,Strings and formatting,VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,0:48:41–1:05:06,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
57,DE04-04,04,Python Foundations,Conditions and boolean logic,VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,1:26:20–1:34:24,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
58,DE04-05,04,Python Foundations,"Lists, tuples, sets and dictionaries",VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,1:34:24–2:12:26,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
59,DE04-06,04,Python Foundations,Loops and iteration,VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,2:21:06–2:36:31,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
60,DE04-07,04,Python Foundations,Functions and scope,VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,2:52:12–3:02:03,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
61,DE04-08,04,Python Foundations,"Modules, imports and project structure",VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,3:12:46–3:28:16,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
62,DE04-09,04,Python Foundations,Exceptions and debugging basics,VIDEO_PRIMARY,VERIFIED STABLE VIDEO,Corey Schafer — Python Try/Except Error Handling,Full focused lesson,https://www.youtube.com/watch?v=NIWwJbo-9_8,"Watch the focused exceptions lesson, type the examples, then debug the course task without the video.","Older source, but Python try/except fundamentals are stable; final audit will still recheck availability."
63,DE04-10,04,Python Foundations,"Files, paths, CSV and JSON I/O",VIDEO_SUPPORT,VERIFIED STABLE VIDEO,Corey Schafer — Python File Objects,Full focused file I/O lesson; Teaching Book adds CSV/JSON specifics,https://www.youtube.com/watch?v=Uh2ebFW8OYM,Use for file/path I/O mechanics. The course remains authoritative for CSV/JSON engineering patterns and validation.,Older but stable Python file-I/O mechanics.
64,DE04-11,04,Python Foundations,"pandas foundations: load, inspect, filter and aggregate",VIDEO_PRIMARY,VERIFIED,Luke Barousse — Python for Data Analytics,4:22:56–5:08:26,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
65,DE04-12,04,Python Foundations,Practical Big-O intuition,VIDEO_SUPPORT,VERIFIED STABLE VIDEO,freeCodeCamp/Jovian — Data Structures and Algorithms in Python,00:50:52 — Big-O complexity,https://www.youtube.com/watch?v=pkYVOmU3MgA,Watch only the Big-O block needed for practical O(1)/O(n)/O(n²) intuition; do not turn this into a competitive-programming detour.,Long course used as a precise chapter source.
66,DE04-13,04,Python Foundations,Coding drills: lists and strings,PRACTICE_ONLY,NO VIDEO BY DESIGN,Independent practice / protected assessment,,,"Keep videos, answers and AI solving closed during the attempt. Use review only after saving a genuine attempt.","No tutorial during this task by design. Attempt it independently, then use the locked review/remediation flow."
67,DE04-14,04,Python Foundations,Coding drills: dictionaries and sets,PRACTICE_ONLY,NO VIDEO BY DESIGN,Independent practice / protected assessment,,,"Keep videos, answers and AI solving closed during the attempt. Use review only after saving a genuine attempt.","No tutorial during this task by design. Attempt it independently, then use the locked review/remediation flow."
68,DE04-15,04,Python Foundations,"Stack, queue, search and sort basics",VIDEO_SUPPORT,VERIFIED STABLE VIDEO,freeCodeCamp/Jovian — Data Structures and Algorithms in Python,1:24:57 — binary vs linear search + 5:16:47 — sorting; course book adds light stack/queue scope,https://www.youtube.com/watch?v=pkYVOmU3MgA,Use only the mapped search/sort portions. Stack/queue remain a lightweight course concept; no giant DSA diversion.,"Support, not full coverage of every subtopic in the lesson."
69,DE04-16,04,Python Foundations,Integrated Python checkpoint and reproducible script habits,OFFICIAL_GUIDED,VERIFIED OFFICIAL CURRENT,Python Packaging User Guide — Packaging Python Projects,"Current project layout: README, pyproject.toml, src/, tests/; use as a structure reference after your first checkpoint attempt",https://packaging.python.org/en/latest/tutorials/packaging-projects/,Attempt the integrated checkpoint first. Use this current PyPA guide only to repair reproducibility/project-structure weaknesses; it is not a solution walkthrough.,Keeps the checkpoint independent while giving a current official reference for reproducible Python project structure.
70,DE05-01,05,Python for Data Engineering,"CSV properly: parse, inspect, preserve raw",VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
71,DE05-02,05,Python for Data Engineering,JSON and JSONL from zero,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
72,DE05-03,05,Python for Data Engineering,"Paths, folders and deterministic batch files",VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
73,DE05-04,05,Python for Data Engineering,pandas profiling before transformation,VIDEO_SUPPORT,VERIFIED,Luke Barousse — pandas / Python mechanics refresher,4:22:56–5:08:26,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
74,DE05-05,05,Python for Data Engineering,Cleaning with pandas and rejected rows,VIDEO_SUPPORT,VERIFIED,Luke Barousse — pandas / Python mechanics refresher,4:22:56–5:08:26,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
75,DE05-06,05,Python for Data Engineering,"pandas merge, cardinality and aggregation",VIDEO_SUPPORT,VERIFIED,Luke Barousse — pandas / Python mechanics refresher,4:22:56–5:08:26,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
76,DE05-07,05,Python for Data Engineering,"Data validation: record, batch and relationship rules",VIDEO_PRIMARY,VERIFIED CURRENT VIDEO,Corey Schafer — Complete Pydantic Data Validation Course,Validation fundamentals → field/custom/nested validation; use only sections relevant to pipeline records,https://www.youtube.com/watch?v=M81pfi64eeM,"Use this modern validation class for the mental model, then implement the course record/batch/relationship validation rules independently.",Published 2025; directly relevant to runtime data validation and pipelines.
77,DE05-08,05,Python for Data Engineering,HTTP and REST APIs from zero,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
